Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,Manhattan International High School,02M459,"09,10,11,12",High School,Gladys Rodriguez,Jane Lawrence,YMCA,Other,,,2.0
,Manhattan Village Academy,02M439,"09,10,11,12,SE",High School,Hector Geager,Hector Geager,None,,,,2.0
,Millennium High School,02M418,"09,10,11,12,SE",High School,Colin Mcevoy,Colin Mcevoy,Learning Through an Expanded Arts Program (LEAP),Dance,,,2.0
,Millennium High School,02M418,"09,10,11,12,SE",High School,Colin Mcevoy,Colin Mcevoy,Learning Through an Expanded Arts Program (LEAP),Other,,,2.0
,Murray Hill Academy,02M432,"09,10,11,12,SE",High School,Anita Manninen Felix,Adam Ward,Dance Theatre Etcetera,Dance,,,2.0
,Murray Hill Academy,02M432,"09,10,11,12,SE",High School,Anita Manninen Felix,Adam Ward,Learning Through an Expanded Arts Program (LEAP),Visual Arts,,,2.0
,Murry Bergtraum High School for Business Careers,02M520,"09,10,11,12,SE",High School,Naima Cook,Jeremy Daniel,Lincoln Center for the Performing Arts,Theater,,,2.0
,N.Y.C. Lab Middle School for Collaborative Studies,02M312,"06,07,08,SE",Middle School,Brooke Jackson,Nashwa Rafla-Demetrious,John Lennon Bus,Music,,,2.0
,N.Y.C. Lab School for Collaborative Studies,02M412,"09,10,11,12,SE",High School,Brooke Jackson,Nashwa Rafla-Demetrious,John Lennon Bus,Music,,,2.0
,N.Y.C. Museum School,02M414,"09,10,11,12,SE",High School,Darlene Miller,Joel Lowy,Cathedral Church of St. John the Divine,Visual Arts,,,2.0
,N.Y.C. Museum School,02M414,"09,10,11,12,SE",High School,Darlene Miller,Joel Lowy,Japan Society,Visual Arts,,,2.0
,N.Y.C. Museum School,02M414,"09,10,11,12,SE",High School,Darlene Miller,Joel Lowy,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,N.Y.C. Museum School,02M414,"09,10,11,12,SE",High School,Darlene Miller,Joel Lowy,Paley Center for Media,Visual Arts,,,2.0
,N.Y.C. Museum School,02M414,"09,10,11,12,SE",High School,Darlene Miller,Joel Lowy,Rubin Museum of Art,Visual Arts,,,2.0
,New Design High School,02M543,"09,10,11,12,SE",High School,Scott Conti,Scott Conti,Urban Arts Partnership,Other,,,2.0
,NYC iSchool,02M376,"09,10,11,12,SE",High School,Isora Bailey,Michelle Leimsider,None,,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,American Ballet Theatre,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,American Ballet Theatre,Music,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,American Ballet Theatre,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,American Ballet Theatre,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Ballet Tech Foundation,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Big Apple Circus,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Bronx Zoo,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Brooklyn Botanical Gardens,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Brooklyn Children's Museum,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Brooklyn Museum,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Center for Architecture,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Center for Architecture,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Ellis Island,Film/Media,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Midori Foundation dba Midori & Friends,Music,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Museum at Eldridge Street,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Museum at Eldridge Street,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Museum of Chinese in America,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Museum of Natural History,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,National Dance Institute,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,National Dance Institute,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,New York Botanical Gardens,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,New York Transit Museum,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,New-York Historical Society,Film/Media,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,New-York Historical Society,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Poet House,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Prospect Park Zoo,Other,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Shen Wei,Dance,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Swedish Cottage,Theater,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Urban Voices,Music,,,2.0
,P.S. 001 Alfred E. Smith,02M001,"PK,0K,01,02,03,04,05,SE",Elementary School,Amy Hom,Nancy Wong,Young People's Chorus of New York City,Music,,,2.0
,P.S. 002 Meyer London,02M002,"PK,0K,01,02,03,04,05,SE",Elementary School,Silvana Ng,Silvana Ng,National Dance Institute,Dance,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Alvin Ailey Dance Foundation,Dance,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Atlantic Theater Company,Theater,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Children's Museum of the Arts,Visual Arts,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Children's Museum of the Arts,Film/Media,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Jazz at Lincoln Center,Music,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Locomotion Children's Dance Theater,Theater,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Materials for the Arts,Visual Arts,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Museum of Modern Art,Visual Arts,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Off the Page,Theater,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Paper Bag Players,Theater,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Penguin/Random House,Theater,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,TheatreWorks USA,Theater,,,2.0
,P.S. 003 Charrette School,02M003,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisa Siegman,Lisa Siegman,Whitney Museum of American Art,Visual Arts,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,Applause,Theater,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,Creative Stages,Theater,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,Inside Broadway / Midtown Management Group,Theater,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,Jeriah West African Dance,Dance,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,Jeriah West Hip Hop,Dance,,,2.0
,P.S. 006 Lillie D. Blake,02M006,"PK,0K,01,02,03,04,05,SE",Elementary School,Lauren Fontana,Lauren Fontana,National Dance Institute,Dance,,,2.0
,P.S. 011 William T. Harris,02M011,"PK,0K,01,02,03,04,05,SE",Elementary School,Robert Bender,Cassandra Gregov,Circle in the Square Theatre School,Theater,,,2.0
,P.S. 011 William T. Harris,02M011,"PK,0K,01,02,03,04,05,SE",Elementary School,Robert Bender,Cassandra Gregov,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 011 William T. Harris,02M011,"PK,0K,01,02,03,04,05,SE",Elementary School,Robert Bender,Cassandra Gregov,Education In Dance & The Related Arts,Dance,,,2.0
,P.S. 011 William T. Harris,02M011,"PK,0K,01,02,03,04,05,SE",Elementary School,Robert Bender,Cassandra Gregov,New York City Ballet,Dance,,,2.0
,P.S. 011 William T. Harris,02M011,"PK,0K,01,02,03,04,05,SE",Elementary School,Robert Bender,Cassandra Gregov,Pascal Rioult Dance Theatre,Dance,,,2.0
,P.S. 011 William T. Harris,02M011,"PK,0K,01,02,03,04,05,SE",Elementary School,Robert Bender,Cassandra Gregov,Rosie's Theatre Kids,Dance,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,American Ballroom Theatre,Dance,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Children's Museum of the Arts,Visual Arts,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Circle in the Square Theatre School,Theater,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Guggenheim Museum,Visual Arts,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Guggenheim Museum,Visual Arts,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Highline,Other,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Museum of Modern Art,Visual Arts,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,National Dance Institute,Dance,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Rubin Museum of Art,Visual Arts,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Society of the 3rd Street Music School Settlement,Music,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,TADA! Theatre and Dance Alliance,Theater,,,2.0
,P.S. 033 Chelsea Prep,02M033,"PK,0K,01,02,03,04,05,SE",Elementary School,Chingchien Wang,Karin Dando-Haenisch,Whitney Museum of American Art,Visual Arts,,,2.0
,P.S. 040 Augustus Saint-Gaudens,02M040,"PK,0K,01,02,03,04,05,SE",Elementary School,Susan Felder,Marie Eng,Dancewave,Dance,,,2.0
,P.S. 040 Augustus Saint-Gaudens,02M040,"PK,0K,01,02,03,04,05,SE",Elementary School,Susan Felder,Marie Eng,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 040 Augustus Saint-Gaudens,02M040,"PK,0K,01,02,03,04,05,SE",Elementary School,Susan Felder,Marie Eng,Marquis Studios,Theater,,,2.0
,P.S. 040 Augustus Saint-Gaudens,02M040,"PK,0K,01,02,03,04,05,SE",Elementary School,Susan Felder,Marie Eng,Marquis Studios,Theater,,,2.0
,P.S. 040 Augustus Saint-Gaudens,02M040,"PK,0K,01,02,03,04,05,SE",Elementary School,Susan Felder,Marie Eng,National Dance Institute,Dance,,,2.0
,P.S. 041 Greenwich Village,02M041,"PK,0K,01,02,03,04,05,SE",Elementary School,Kelly Shannon,Toni Ann Serratelli,Jazz at Lincoln Center,Music,,,2.0
,P.S. 041 Greenwich Village,02M041,"PK,0K,01,02,03,04,05,SE",Elementary School,Kelly Shannon,Toni Ann Serratelli,National Dance Institute,Dance,,,2.0
,P.S. 041 Greenwich Village,02M041,"PK,0K,01,02,03,04,05,SE",Elementary School,Kelly Shannon,Toni Ann Serratelli,Whitney Museum of American Art,Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Center for Architecture,Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Circle in the Square Theatre School,Theater,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Historic Richmondtown,Other,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Midori Foundation dba Midori & Friends,Dance,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Midori Foundation dba Midori & Friends,Music,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Museum at Eldridge Street,Film/Media,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Museum of Modern Art,Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,New Victory Theatre,Theater,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Paper Bag Players,Theater,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Roundabout Theatre Company,Theater,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Society of the 3rd Street Music School Settlement,Music,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,The Drawing Center,Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,Whitney Museum of American Art,Visual Arts,,,2.0
,P.S. 042 Benjamin Altman,02M042,"PK,0K,01,02,03,04,05,SE",Elementary School,May Lee,May Lee,YMCA,Other,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,American Classical Orchestra,Music,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Carnegie Hall Corporation,Music,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Carnegie Hall Corporation,Music,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Hip Hop Artist,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Jennifer Muller Dance Company,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,"Jewish Museum, The",Visual Arts,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,New York City Ballet,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,New York City Ballet,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Orchestra of St. Luke's,Music,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Orchestra of St. Luke's,Music,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Rioult Dance Company,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Rosie's Theatre Kids,Dance,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Story Pirates,Theater,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Studio in a School Association,Visual Arts,,,2.0
,P.S. 051 Elias Howe,02M051,"PK,0K,01,02,03,04,05,SE",Elementary School,Ryan Bourke,Katie Traxler,Teachers and Writers Collaborative,Other,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,ArchForKids - architecture for children,Other,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,Arts Connection,Dance,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,ArtsConnection,Dance,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,City Center,Dance,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,Creative Stages,Theater,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,Jazz at Lincoln Center,Music,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,Mount Vernon Hotel Museum and Garden,Other,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,Museum of Modern Art,Visual Arts,,,2.0
,P.S. 059 Beekman Hill International,02M059,"PK,0K,01,02,03,04,05,SE",Elementary School,Adele Schroeter,Jeanne Kim,TheatreWorks USA,Theater,,,2.0
,P.S. 111 Adolph S. Ochs,02M111,"PK,0K,01,02,03,04,05,SE",Elementary School,Edward Gilligan,Clara Harvey,Alvin Ailey Dance Foundation,Dance,,,2.0
,P.S. 111 Adolph S. Ochs,02M111,"PK,0K,01,02,03,04,05,SE",Elementary School,Edward Gilligan,Clara Harvey,Orchestra of St. Luke's,Music,,,2.0
,P.S. 111 Adolph S. Ochs,02M111,"PK,0K,01,02,03,04,05,SE",Elementary School,Edward Gilligan,Clara Harvey,Studio in a School Association,Visual Arts,,,2.0
,P.S. 111 Adolph S. Ochs,02M111,"PK,0K,01,02,03,04,05,SE",Elementary School,Edward Gilligan,Clara Harvey,Young Storyteller's,Theater,,,2.0
,P.S. 116 Mary Lindley Murray,02M116,"PK,0K,01,02,03,04,05,SE",Elementary School,Jane Hsu,Jane Hsu,None,,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,American Ballet Theatre,Dance,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,American Classical Orchestra,Music,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,American Museum of Natural History,Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Apple Corps,Theater,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Arts Connection,Dance,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Borough of Manhattan Community College,Theater,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Center for Arts Education,Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Circle in the Square Theatre School,Theater,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Harmony Project,Music,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Historic Richmondtown,Other,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Kids Project,Other,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Materials for the Arts,Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,"Morgan Library, The",Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Museum at Eldridge Street,Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Museum of Modern Art,Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,National Asian Artists Project,Theater,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,National Dance Institute,Dance,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,New-York Historical Society,Visual Arts,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Symphony Space,Theater,,,2.0
,P.S. 124 Yung Wing,02M124,"PK,0K,01,02,03,04,05,SE",Elementary School,Alice Hom,Ryan Olsen,Tribeca Performing Arts Center,Theater,,,2.0
,P.S. 126 Jacob August Riis,02M126,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Carlos Romero,Robin Berg,Art Works,Visual Arts,,,2.0
,P.S. 126 Jacob August Riis,02M126,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Carlos Romero,Robin Berg,Carnegie Hall Corporation,Music,,,2.0
